% a1 dataset from https://cs.joensuu.fi/sipu/datasets/
%
% I. Kärkkäinen and P. Fränti, "Dynamic local search algorithm for the clustering problem", Research Report A-2002-6
%
@RELATION a1

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@DATA
54620.0,43523.0,5
52694.0,42750.0,5
53253.0,43024.0,5
54925.0,42624.0,5
54973.0,43980.0,5
52967.0,42955.0,5
55143.0,40238.0,5
53071.0,44896.0,5
55710.0,44219.0,5
54459.0,43964.0,5
54467.0,44351.0,5
53570.0,41898.0,5
55155.0,43399.0,5
54051.0,41019.0,5
55335.0,44023.0,5
54449.0,42872.0,5
53399.0,42273.0,5
54241.0,43580.0,5
56000.0,41710.0,5
53204.0,42630.0,5
54524.0,42904.0,5
55665.0,44100.0,5
55829.0,40780.0,5
54059.0,42096.0,5
53106.0,42771.0,5
54427.0,43777.0,5
55368.0,41828.0,5
53927.0,45077.0,5
55278.0,44081.0,5
55909.0,41497.0,5
53344.0,42929.0,5
55095.0,42443.0,5
55645.0,43363.0,5
55718.0,43777.0,5
57115.0,44424.0,5
54963.0,44875.0,5
54483.0,43594.0,5
54543.0,44843.0,5
54263.0,39356.0,5
53992.0,42499.0,5
54729.0,40311.0,5
55013.0,44589.0,5
53332.0,43782.0,5
52627.0,41645.0,5
57103.0,40709.0,5
54352.0,42520.0,5
50478.0,42084.0,5
54849.0,41733.0,5
53055.0,42310.0,5
55191.0,42127.0,5
51936.0,41784.0,5
54594.0,44345.0,5
52164.0,42650.0,5
56302.0,42288.0,5
52913.0,44156.0,5
53697.0,46311.0,5
53582.0,40916.0,5
52993.0,40890.0,5
54222.0,43822.0,5
52221.0,43490.0,5
55062.0,44521.0,5
52460.0,42366.0,5
54341.0,45492.0,5
52195.0,42091.0,5
53141.0,41774.0,5
53476.0,41355.0,5
54256.0,44048.0,5
56036.0,42102.0,5
54916.0,42689.0,5
53420.0,44299.0,5
54924.0,42079.0,5
56208.0,41204.0,5
53855.0,42912.0,5
55078.0,42668.0,5
52975.0,43407.0,5
52526.0,43275.0,5
56191.0,42928.0,5
56569.0,44022.0,5
53730.0,42300.0,5
56749.0,45529.0,5
55281.0,42586.0,5
56338.0,39718.0,5
52456.0,43210.0,5
55388.0,42905.0,5
55983.0,42644.0,5
54325.0,45723.0,5
52346.0,41845.0,5
52745.0,42741.0,5
54393.0,42416.0,5
53106.0,42336.0,5
56285.0,41221.0,5
54064.0,41409.0,5
53703.0,44027.0,5
54179.0,45588.0,5
55395.0,42014.0,5
53023.0,46128.0,6
56830.0,40997.0,5
57981.0,42287.0,5
52898.0,41098.0,5
54307.0,42992.0,5
55303.0,44416.0,5
52517.0,43287.0,5
53727.0,41735.0,5
55346.0,40987.0,5
53531.0,43995.0,5
54225.0,40013.0,5
54111.0,43711.0,5
55977.0,44177.0,5
55227.0,44206.0,5
52351.0,45876.0,6
49952.0,42514.0,5
55911.0,44667.0,5
55825.0,42139.0,5
53832.0,43983.0,5
54353.0,42453.0,5
50548.0,44199.0,5
54329.0,44001.0,5
54691.0,42918.0,5
54026.0,42248.0,5
54140.0,42328.0,5
54032.0,42111.0,5
54556.0,42397.0,5
55092.0,43404.0,5
54417.0,42391.0,5
57398.0,41217.0,5
55169.0,42237.0,5
53973.0,44112.0,5
53795.0,43670.0,5
52409.0,41340.0,5
51167.0,45741.0,6
56804.0,43627.0,5
56299.0,42413.0,5
55062.0,43027.0,5
54716.0,43766.0,5
54943.0,41966.0,5
57196.0,43284.0,5
54033.0,40367.0,5
56416.0,42968.0,5
56087.0,43599.0,5
54414.0,44613.0,5
52304.0,42213.0,5
57416.0,43226.0,5
54876.0,42500.0,5
52495.0,41064.0,5
54272.0,43145.0,5
55984.0,40501.0,5
53322.0,41799.0,5
55053.0,43347.0,5
54308.0,42602.0,5
54091.0,44335.0,5
50545.0,49343.0,6
50711.0,50227.0,6
49983.0,48300.0,6
51327.0,46829.0,6
53980.0,49207.0,6
52846.0,50052.0,6
51816.0,47204.0,6
51421.0,49806.0,6
49762.0,47210.0,6
51564.0,50111.0,6
51541.0,48433.0,6
54602.0,50309.0,6
51116.0,48104.0,6
53307.0,51015.0,6
51683.0,49283.0,6
51485.0,48750.0,6
52477.0,50139.0,6
52872.0,50375.0,6
54275.0,48580.0,6
51460.0,49224.0,6
52073.0,50583.0,6
50778.0,50832.0,6
52994.0,49958.0,6
52103.0,49204.0,6
51076.0,50440.0,6
49868.0,50597.0,6
51122.0,48724.0,6
53609.0,48195.0,6
50862.0,48277.0,6
50697.0,47557.0,6
52531.0,50046.0,6
51759.0,49073.0,6
50162.0,50113.0,6
51046.0,51417.0,6
52256.0,47563.0,6
54748.0,47435.0,6
51069.0,50726.0,6
53561.0,46928.0,6
50745.0,51221.0,6
51125.0,52196.0,6
49630.0,48514.0,6
53771.0,49411.0,6
50498.0,50993.0,6
52768.0,50430.0,6
51476.0,50875.0,6
50128.0,50117.0,6
49685.0,48605.0,6
49164.0,46821.0,6
51674.0,48858.0,6
50230.0,49055.0,6
53145.0,48166.0,6
50617.0,48690.0,6
53365.0,47853.0,6
53322.0,49129.0,6
52899.0,49148.0,6
53498.0,48141.0,6
50423.0,47832.0,6
51377.0,48123.0,6
50843.0,49836.0,6
51344.0,48631.0,6
52620.0,47208.0,6
53300.0,49981.0,6
53300.0,50101.0,6
51333.0,48502.0,6
52533.0,48519.0,6
49164.0,49656.0,6
52172.0,50246.0,6
52323.0,49316.0,6
49154.0,48565.0,6
50651.0,49838.0,6
50835.0,50099.0,6
53742.0,49907.0,6
50691.0,50499.0,6
51354.0,46853.0,6
50952.0,49346.0,6
52105.0,49253.0,6
52045.0,48784.0,6
51808.0,47875.0,6
51536.0,50378.0,6
52080.0,46732.0,6
51189.0,50434.0,6
51798.0,48228.0,6
51985.0,49754.0,6
53241.0,53420.0,6
52899.0,48633.0,6
54090.0,49415.0,6
51910.0,50787.0,6
51162.0,51612.0,6
52155.0,50267.0,6
49469.0,49205.0,6
51308.0,49630.0,6
50307.0,51082.0,6
50059.0,45731.0,6
50244.0,48477.0,6
48977.0,47710.0,6
48661.0,50836.0,6
51554.0,51790.0,6
51397.0,50323.0,6
52757.0,50130.0,6
52164.0,47191.0,6
51089.0,48855.0,6
52166.0,48385.0,6
52613.0,50446.0,6
51235.0,49140.0,6
50455.0,50713.0,6
52393.0,49486.0,6
51011.0,48580.0,6
51294.0,48648.0,6
52558.0,50207.0,6
53182.0,51978.0,6
53694.0,51985.0,6
50822.0,48480.0,6
50663.0,49713.0,6
49538.0,51625.0,6
53264.0,48831.0,6
51545.0,48362.0,6
51808.0,52179.0,6
53242.0,51473.0,6
49352.0,49577.0,6
51610.0,48965.0,6
48381.0,48106.0,6
48715.0,49479.0,6
50929.0,50250.0,6
50452.0,48945.0,6
52903.0,49650.0,6
52902.0,50105.0,6
50369.0,49615.0,6
51003.0,48693.0,6
51586.0,49170.0,6
52214.0,50324.0,6
51815.0,49375.0,6
50015.0,49385.0,6
49968.0,44951.0,6
51274.0,51159.0,6
50139.0,48240.0,6
51568.0,48212.0,6
52094.0,49427.0,6
53771.0,49868.0,6
52696.0,51309.0,6
51353.0,50271.0,6
52110.0,48679.0,6
53065.0,49559.0,6
51243.0,49471.0,6
49158.0,47569.0,6
51589.0,53212.0,6
50716.0,50226.0,6
52917.0,51056.0,6
52046.0,47422.0,6
50183.0,48147.0,6
49685.0,50701.0,6
59637.0,45811.0,1
60147.0,45082.0,1
60025.0,50540.0,2
62099.0,45862.0,1
62457.0,44344.0,1
60734.0,45976.0,1
61654.0,45375.0,1
62737.0,46856.0,1
59434.0,45767.0,1
61383.0,46454.0,1
59180.0,45359.0,1
62661.0,46734.0,1
61930.0,45278.0,1
61909.0,46072.0,1
63957.0,47753.0,1
62033.0,45635.0,1
58244.0,45992.0,1
61159.0,45013.0,1
61495.0,46965.0,1
62011.0,48870.0,1
59014.0,46813.0,1
59953.0,46852.0,1
61075.0,46380.0,1
59978.0,45921.0,1
63518.0,45366.0,1
60662.0,45183.0,1
61917.0,49590.0,2
58162.0,45461.0,1
58656.0,47841.0,1
60103.0,43554.0,1
61360.0,46709.0,1
61576.0,48371.0,1
59026.0,46292.0,1
61555.0,46519.0,1
63261.0,45819.0,1
61252.0,48636.0,1
60366.0,46199.0,1
59988.0,48268.0,1
62906.0,45197.0,1
59397.0,44267.0,1
61898.0,46911.0,1
62684.0,47619.0,1
62113.0,46253.0,1
61034.0,48519.0,1
60097.0,49612.0,2
59797.0,43693.0,1
61500.0,44023.0,1
58569.0,46086.0,1
62098.0,48364.0,1
60135.0,46592.0,1
63119.0,45688.0,1
61016.0,47793.0,1
60779.0,47519.0,1
61530.0,46159.0,1
62512.0,46476.0,1
59835.0,47222.0,1
59495.0,47409.0,1
58468.0,48906.0,1
57948.0,47995.0,1
59107.0,48912.0,1
61258.0,46064.0,1
59691.0,47572.0,1
59628.0,46865.0,1
60173.0,48289.0,1
61201.0,45635.0,1
62400.0,45584.0,1
59578.0,48612.0,1
61786.0,44837.0,1
60755.0,44937.0,1
61942.0,46526.0,1
61501.0,45670.0,1
59458.0,47430.0,1
60630.0,47285.0,1
59370.0,48566.0,1
59677.0,46828.0,1
62217.0,43734.0,1
59962.0,46140.0,1
59247.0,43976.0,1
62951.0,43581.0,1
64197.0,46477.0,1
58954.0,45292.0,1
62130.0,43638.0,1
61766.0,44822.0,1
61211.0,44484.0,1
62982.0,45314.0,1
60461.0,46738.0,1
61434.0,46270.0,1
60185.0,48738.0,1
60602.0,44756.0,1
62991.0,49882.0,2
60817.0,46350.0,1
59524.0,46701.0,1
61589.0,48446.0,1
63760.0,44658.0,1
62292.0,48885.0,1
63074.0,47510.0,1
60573.0,45064.0,1
62195.0,46716.0,1
58990.0,47402.0,1
58730.0,46167.0,1
61872.0,46473.0,1
62583.0,48197.0,1
63311.0,44483.0,1
61267.0,46010.0,1
59364.0,48273.0,1
61827.0,44599.0,1
58938.0,46819.0,1
60129.0,46161.0,1
56623.0,47837.0,1
60470.0,45222.0,1
61691.0,45495.0,1
60109.0,43495.0,1
58717.0,46859.0,1
58565.0,46331.0,1
60601.0,47937.0,1
62566.0,49149.0,1
61903.0,46451.0,1
61782.0,47084.0,1
61954.0,45907.0,1
62345.0,47091.0,1
58264.0,45640.0,1
61303.0,48326.0,1
58773.0,43499.0,1
63086.0,47075.0,1
63081.0,47684.0,1
60204.0,46955.0,1
60597.0,46399.0,1
59077.0,48115.0,1
61768.0,44391.0,1
58976.0,45060.0,1
60989.0,47257.0,1
61190.0,47066.0,1
60972.0,46551.0,1
60077.0,44786.0,1
61432.0,46817.0,1
62600.0,45672.0,1
61396.0,48168.0,1
62082.0,46029.0,1
62480.0,45840.0,1
60049.0,45388.0,1
59918.0,48366.0,1
62084.0,45119.0,1
60707.0,46058.0,1
60634.0,45826.0,1
63489.0,44063.0,1
62451.0,48261.0,1
62426.0,44954.0,1
61782.0,49028.0,1
61595.0,47677.0,1
62779.0,47041.0,1
59953.0,50937.0,2
60526.0,53180.0,2
58802.0,53819.0,2
62297.0,52300.0,2
58604.0,54336.0,2
60766.0,55324.0,2
58238.0,51102.0,2
60125.0,49071.0,1
59177.0,52894.0,2
61205.0,52646.0,2
59620.0,53606.0,2
61566.0,53795.0,2
62010.0,50563.0,2
55811.0,52761.0,2
57938.0,52825.0,2
62783.0,52794.0,2
59198.0,52561.0,2
59786.0,51948.0,2
60902.0,55082.0,2
60679.0,50894.0,2
63223.0,53981.0,2
60586.0,48986.0,1
61159.0,54532.0,2
61033.0,52468.0,2
61475.0,53918.0,2
62169.0,51916.0,2
58904.0,53725.0,2
60531.0,53274.0,2
61442.0,51792.0,2
60235.0,52007.0,2
58915.0,50231.0,2
62109.0,50367.0,2
59971.0,53488.0,2
60369.0,52563.0,2
57329.0,51751.0,2
59933.0,56156.0,2
61775.0,53359.0,2
61599.0,53671.0,2
60106.0,49519.0,2
57978.0,52975.0,2
63057.0,51681.0,2
61776.0,51655.0,2
62364.0,50648.0,2
60327.0,51525.0,2
59857.0,53804.0,2
59856.0,50041.0,2
58313.0,52980.0,2
62549.0,54640.0,2
59146.0,54829.0,2
61469.0,51409.0,2
58371.0,50040.0,2
61314.0,51110.0,2
60548.0,53678.0,2
59922.0,52786.0,2
58762.0,51916.0,2
60854.0,52169.0,2
62313.0,53461.0,2
60787.0,51558.0,2
60948.0,49685.0,2
60644.0,51665.0,2
59095.0,50820.0,2
58808.0,52874.0,2
63244.0,53722.0,2
61129.0,52867.0,2
60730.0,52083.0,2
61190.0,54253.0,2
57940.0,53483.0,2
60793.0,50532.0,2
57987.0,50535.0,2
57316.0,51557.0,2
57344.0,53713.0,2
59345.0,53451.0,2
59309.0,53689.0,2
63148.0,54994.0,2
65535.0,51609.0,2
58432.0,52328.0,2
61739.0,52881.0,2
58769.0,54508.0,2
62146.0,50611.0,2
61353.0,52949.0,2
60249.0,52238.0,2
60703.0,52037.0,2
61407.0,52897.0,2
59622.0,51840.0,2
58297.0,53749.0,2
58234.0,52471.0,2
63457.0,52600.0,2
60443.0,53128.0,2
62485.0,51824.0,2
59626.0,52498.0,2
60245.0,51232.0,2
60088.0,51401.0,2
59466.0,51775.0,2
59673.0,50869.0,2
59396.0,54860.0,2
60024.0,50389.0,2
63143.0,53181.0,2
61364.0,52426.0,2
61272.0,52410.0,2
61352.0,50032.0,2
60794.0,53091.0,2
58644.0,54218.0,2
60576.0,51753.0,2
59434.0,52433.0,2
61099.0,50199.0,2
57111.0,51732.0,2
59385.0,51054.0,2
59626.0,52424.0,2
62053.0,52942.0,2
59411.0,54228.0,2
63256.0,53319.0,2
61799.0,52927.0,2
56783.0,52846.0,2
61232.0,53224.0,2
60221.0,52022.0,2
58815.0,54259.0,2
58336.0,53014.0,2
60820.0,53919.0,2
59816.0,53916.0,2
60946.0,53614.0,2
57803.0,50468.0,2
59045.0,52706.0,2
60617.0,51398.0,2
61019.0,51535.0,2
60753.0,50736.0,2
62592.0,54099.0,2
60868.0,51134.0,2
60597.0,51012.0,2
60201.0,52003.0,2
60152.0,49128.0,1
59566.0,53452.0,2
59703.0,52501.0,2
58933.0,53890.0,2
59898.0,51245.0,2
60079.0,53099.0,2
62063.0,51857.0,2
60308.0,51685.0,2
61447.0,51661.0,2
58543.0,53625.0,2
61593.0,51496.0,2
61290.0,54028.0,2
61105.0,49647.0,2
60231.0,53265.0,2
59558.0,52776.0,2
58402.0,52389.0,2
58134.0,51877.0,2
59040.0,54950.0,2
63162.0,53609.0,2
58718.0,49514.0,2
60396.0,52805.0,2
44040.0,46197.0,7
46006.0,46521.0,7
47260.0,47193.0,7
45600.0,46395.0,7
44324.0,44879.0,7
42732.0,45444.0,7
43609.0,46066.0,7
46021.0,44331.0,7
45527.0,42803.0,7
44401.0,45918.0,7
44023.0,46226.0,7
44772.0,46447.0,7
46125.0,45879.0,7
45451.0,47318.0,7
44081.0,47210.0,7
45840.0,49753.0,7
46384.0,44600.0,7
44279.0,43434.0,7
44882.0,47245.0,7
45818.0,44321.0,7
45019.0,45549.0,7
43897.0,46696.0,7
43524.0,46836.0,7
42508.0,47345.0,7
45015.0,46110.0,7
45356.0,44834.0,7
45010.0,47987.0,7
43712.0,46227.0,7
46179.0,46421.0,7
45360.0,46378.0,7
44163.0,47526.0,7
46904.0,46553.0,7
42409.0,44578.0,7
43905.0,45300.0,7
42749.0,45475.0,7
44698.0,44129.0,7
43280.0,46617.0,7
45574.0,47897.0,7
43851.0,47533.0,7
