% a2 dataset from https://cs.joensuu.fi/sipu/datasets/
%
% I. Kärkkäinen and P. Fränti, "Dynamic local search algorithm for the clustering problem", Research Report A-2002-6
%
@RELATION a2

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35}

@DATA
53920.0,42968.0,6
52019.0,42206.0,6
52570.0,42476.0,6
54220.0,42081.0,6
54268.0,43420.0,6
52288.0,42408.0,6
54436.0,39727.0,6
52391.0,44323.0,6
54995.0,43655.0,6
53761.0,43403.0,6
53769.0,43786.0,6
52883.0,41365.0,6
54448.0,42846.0,6
53358.0,40498.0,6
54626.0,43461.0,6
53751.0,42326.0,6
52714.0,41735.0,6
53545.0,43025.0,6
55281.0,41180.0,6
52522.0,42088.0,6
53825.0,42358.0,6
54951.0,43538.0,6
55113.0,40262.0,6
53366.0,41560.0,6
52425.0,42226.0,6
53729.0,43219.0,6
54658.0,41295.0,6
53236.0,44502.0,6
54569.0,43519.0,6
55192.0,40969.0,6
52661.0,42382.0,6
54389.0,41903.0,6
54931.0,42810.0,6
55003.0,43219.0,6
56382.0,43858.0,6
54258.0,44302.0,6
53785.0,43039.0,6
53844.0,44271.0,6
53568.0,38856.0,6
53300.0,41958.0,6
54027.0,39799.0,6
54307.0,44020.0,6
52648.0,43224.0,6
51953.0,41115.0,6
56370.0,40191.0,6
53655.0,41979.0,6
49832.0,41548.0,6
54146.0,41202.0,6
52375.0,41772.0,6
54484.0,41591.0,6
51271.0,41252.0,6
53894.0,43780.0,6
51496.0,42107.0,6
55580.0,41750.0,6
52235.0,43593.0,6
53009.0,45720.0,6
52895.0,40396.0,6
52314.0,40370.0,6
53527.0,43264.0,6
51552.0,42936.0,6
54356.0,43953.0,6
51788.0,41827.0,6
53644.0,44911.0,6
51526.0,41555.0,6
52460.0,41243.0,6
52790.0,40829.0,6
53560.0,43487.0,6
55317.0,41567.0,6
54211.0,42145.0,6
52736.0,43734.0,6
54220.0,41543.0,6
55487.0,40680.0,6
53164.0,42365.0,6
54372.0,42125.0,6
52296.0,42854.0,6
51853.0,42724.0,6
55470.0,42381.0,6
55843.0,43461.0,6
53041.0,41762.0,6
56020.0,44948.0,6
54572.0,42044.0,6
55615.0,39213.0,6
51784.0,42659.0,6
54678.0,42358.0,6
55264.0,42101.0,6
53628.0,45140.0,6
51676.0,41313.0,6
52069.0,42197.0,6
53695.0,41876.0,6
52425.0,41797.0,6
55562.0,40697.0,6
53371.0,40882.0,6
53015.0,43465.0,6
53484.0,45006.0,6
54684.0,41479.0,6
52344.0,45540.0,8
56100.0,40476.0,6
57237.0,41749.0,6
52220.0,40576.0,6
53611.0,42444.0,6
54594.0,43850.0,6
51844.0,42736.0,6
53038.0,41204.0,6
54636.0,40466.0,6
52845.0,43435.0,6
53530.0,39504.0,6
53417.0,43154.0,6
55258.0,43614.0,6
54519.0,43642.0,6
51681.0,45290.0,8
49313.0,41972.0,6
55194.0,44097.0,6
55109.0,41603.0,6
53142.0,43422.0,6
53656.0,41913.0,6
49901.0,43636.0,6
53632.0,43440.0,6
53989.0,42372.0,6
53334.0,41711.0,6
53446.0,41789.0,6
53340.0,41575.0,6
53856.0,41857.0,6
