% a3 dataset from https://cs.joensuu.fi/sipu/datasets/
%
% I. Kärkkäinen and P. Fränti, "Dynamic local search algorithm for the clustering problem", Research Report A-2002-6
%
@RELATION a3

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50}

@DATA
53920.0,42968.0,9
52019.0,42206.0,9
52570.0,42476.0,9
54220.0,42081.0,9
54268.0,43420.0,9
52288.0,42408.0,9
54436.0,39727.0,9
52391.0,44323.0,9
54995.0,43655.0,9
53761.0,43403.0,9
53769.0,43786.0,9
52883.0,41365.0,9
54448.0,42846.0,9
53358.0,40498.0,9
54626.0,43461.0,9
53751.0,42326.0,9
52714.0,41735.0,9
53545.0,43025.0,9
55281.0,41180.0,9
52522.0,42088.0,9
53825.0,42358.0,9
54951.0,43538.0,9
55113.0,40262.0,9
53366.0,41560.0,9
52425.0,42226.0,9
53729.0,43219.0,9
54658.0,41295.0,9
53236.0,44502.0,9
54569.0,43519.0,9
55192.0,40969.0,9
52661.0,42382.0,9
54389.0,41903.0,9
54931.0,42810.0,9
55003.0,43219.0,9
56382.0,43858.0,9
54258.0,44302.0,9
53785.0,43039.0,9
53844.0,44271.0,9
53568.0,38856.0,9
53300.0,41958.0,9
54027.0,39799.0,9
54307.0,44020.0,9
52648.0,43224.0,9
51953.0,41115.0,9
56370.0,40191.0,9
53655.0,41979.0,9
49832.0,41548.0,9
54146.0,41202.0,9
52375.0,41772.0,9
54484.0,41591.0,9
51271.0,41252.0,9
53894.0,43780.0,9
51496.0,42107.0,9
55580.0,41750.0,9
52235.0,43593.0,9
53009.0,45720.0,9
52895.0,40396.0,9
52314.0,40370.0,9
53527.0,43264.0,9
51552.0,42936.0,9
54356.0,43953.0,9
51788.0,41827.0,9
53644.0,44911.0,9
51526.0,41555.0,9
52460.0,41243.0,9
52790.0,40829.0,9
53560.0,43487.0,9
55317.0,41567.0,9
54211.0,42145.0,9
52736.0,43734.0,9
54220.0,41543.0,9
55487.0,40680.0,9
53164.0,42365.0,9
54372.0,42125.0,9
52296.0,42854.0,9
51853.0,42724.0,9
55470.0,42381.0,9
55843.0,43461.0,9
53041.0,41762.0,9
56020.0,44948.0,9
54572.0,42044.0,9
55615.0,39213.0,9
51784.0,42659.0,9
54678.0,42358.0,9
55264.0,42101.0,9
53628.0,45140.0,9
51676.0,41313.0,9
52069.0,42197.0,9
53695.0,41876.0,9
52425.0,41797.0,9
55562.0,40697.0,9
53371.0,40882.0,9
53015.0,43465.0,9
53484.0,45006.0,9
54684.0,41479.0,9
52344.0,45540.0,11
56100.0,40476.0,9
57237.0,41749.0,9
52220.0,40576.0,9
53611.0,42444.0,9
54594.0,43850.0,9
51844.0,42736.0,9
53038.0,41204.0,9
54636.0,40466.0,9
52845.0,43435.0,9
53530.0,39504.0,9
53417.0,43154.0,9
55258.0,43614.0,9
54519.0,43642.0,9
51681.0,45290.0,11
49313.0,41972.0,9
55194.0,44097.0,9
55109.0,41603.0,9
53142.0,43422.0,9
53656.0,41913.0,9
49901.0,43636.0,9
53632.0,43440.0,9
53989.0,42372.0,9
53334.0,41711.0,9
53446.0,41789.0,9
53340.0,41575.0,9
53856.0,41857.0,9
54385.0,42851.0,9
53719.0,41851.0,9
56661.0,40693.0,9
54461.0,41699.0,9
53281.0,43550.0,9
53105.0,43114.0,9
51737.0,40814.0,9
50511.0,45158.0,11
56075.0,43071.0,9
55576.0,41873.0,9
54356.0,42479.0,9
54014.0,43208.0,9
54239.0,41432.0,9
56462.0,42733.0,9
53340.0,39854.0,9
55692.0,42420.0,9
55367.0,43043.0,9
53716.0,44044.0,9
51634.0,41676.0,9
56679.0,42675.0,9
54172.0,41958.0,9
51823.0,40542.0,9
53576.0,42596.0,9
55265.0,39986.0,9
52639.0,41267.0,9
54347.0,42795.0,9
53612.0,42060.0,9
53398.0,43770.0,9
49899.0,48712.0,11
50062.0,49584.0,11
49344.0,47683.0,11
50670.0,46231.0,11
53288.0,48577.0,11
52169.0,49412.0,11
51152.0,46601.0,11
50763.0,49169.0,11
49126.0,46607.0,11
50904.0,49470.0,11
50881.0,47814.0,11
53902.0,49665.0,11
50462.0,47490.0,11
52624.0,50362.0,11
51021.0,48653.0,11
50826.0,48127.0,11
51805.0,49498.0,11
52195.0,49730.0,11
53579.0,47959.0,11
50801.0,48595.0,11
51406.0,49935.0,11
50128.0,50181.0,11
52315.0,49319.0,11
51436.0,48575.0,11
50422.0,49794.0,11
49230.0,49949.0,11
50468.0,48101.0,11
52922.0,47579.0,11
50211.0,47660.0,11
50048.0,46949.0,11
51858.0,49406.0,11
51096.0,48445.0,11
49520.0,49471.0,11
50393.0,50758.0,11
51586.0,46956.0,11
54046.0,46829.0,11
50415.0,50077.0,11
52875.0,46329.0,11
50095.0,50565.0,11
50470.0,51527.0,11
48995.0,47894.0,11
53082.0,48779.0,11
49852.0,50340.0,11
52092.0,49784.0,11
50817.0,50224.0,11
49486.0,49476.0,11
49049.0,47984.0,11
48535.0,46223.0,11
51012.0,48233.0,11
49587.0,48428.0,11
52464.0,47550.0,11
49969.0,48068.0,11
52681.0,47241.0,11
52638.0,48501.0,11
52221.0,48520.0,11
52812.0,47526.0,11
49778.0,47221.0,11
50719.0,47508.0,11
50193.0,49198.0,11
50687.0,48010.0,11
51946.0,46605.0,11
52617.0,49342.0,11
52617.0,49460.0,11
50676.0,47882.0,11
51860.0,47899.0,11
48536.0,49021.0,11
51504.0,49603.0,11
51653.0,48685.0,11
48525.0,47944.0,11
50002.0,49200.0,11
50184.0,49458.0,11
53053.0,49269.0,11
50042.0,49853.0,11
50696.0,46255.0,11
50300.0,48715.0,11
51437.0,48623.0,11
51379.0,48160.0,11
51144.0,47263.0,11
50876.0,49734.0,11
51413.0,46135.0,11
50533.0,49789.0,11
51135.0,47611.0,11
51320.0,49118.0,11
52559.0,52735.0,11
52221.0,48011.0,11
53397.0,48783.0,11
51245.0,50137.0,11
50507.0,50951.0,11
51487.0,49624.0,11
48837.0,48575.0,11
50652.0,48996.0,11
49663.0,50428.0,11
49419.0,45147.0,11
49601.0,47857.0,11
48350.0,47100.0,11
48039.0,50185.0,11
50893.0,51127.0,11
50739.0,49679.0,11
52081.0,49489.0,11
51496.0,46588.0,11
50435.0,48231.0,11
51497.0,47766.0,11
51939.0,49800.0,11
50580.0,48511.0,11
49809.0,50064.0,11
51722.0,48853.0,11
50358.0,47959.0,11
50638.0,48026.0,11
51885.0,49564.0,11
52500.0,51313.0,11
53006.0,51319.0,11
50172.0,47860.0,11
50014.0,49077.0,11
48904.0,50964.0,11
52581.0,48207.0,11
50885.0,47744.0,11
51145.0,51511.0,11
52560.0,50814.0,11
48720.0,48943.0,11
50949.0,48339.0,11
47763.0,47492.0,11
48093.0,48847.0,11
50277.0,49607.0,11
49807.0,48319.0,11
52226.0,49015.0,11
52224.0,49464.0,11
49725.0,48980.0,11
50350.0,48070.0,11
50925.0,48541.0,11
51546.0,49680.0,11
51152.0,48744.0,11
49375.0,48754.0,11
49329.0,44378.0,11
50618.0,50504.0,11
49498.0,47624.0,11
50908.0,47596.0,11
51427.0,48795.0,11
53081.0,49230.0,11
52021.0,50652.0,11
50696.0,49628.0,11
51443.0,48057.0,11
52385.0,48925.0,11
50587.0,48838.0,11
48529.0,46961.0,11
50929.0,52530.0,11
50067.0,49584.0,11
52239.0,50403.0,11
51380.0,46816.0,11
49541.0,47532.0,11
49049.0,50053.0,11
58870.0,45226.0,3
59374.0,44507.0,3
59253.0,49893.0,5
61300.0,45277.0,3
61653.0,43778.0,3
59953.0,45389.0,3
60861.0,44796.0,3
61930.0,46257.0,3
58671.0,45183.0,3
60593.0,45861.0,3
58420.0,44781.0,3
61855.0,46137.0,3
61133.0,44700.0,3
61112.0,45484.0,3
63134.0,47142.0,3
61235.0,45053.0,3
57496.0,45405.0,3
60372.0,44439.0,3
60705.0,46366.0,3
61213.0,48245.0,3
58256.0,46216.0,3
59183.0,46253.0,3
60289.0,45788.0,3
59207.0,45335.0,3
62701.0,44788.0,3
59882.0,44607.0,3
61121.0,48956.0,5
57415.0,44881.0,3
57903.0,47229.0,3
59331.0,42999.0,3
60571.0,46112.0,3
60784.0,47752.0,3
58268.0,45701.0,3
60763.0,45925.0,3
62447.0,45235.0,3
60465.0,48014.0,3
59590.0,45610.0,3
59217.0,47651.0,3
62097.0,44621.0,3
58634.0,43703.0,3
61102.0,46312.0,3
61878.0,47010.0,3
61314.0,45663.0,3
60249.0,47899.0,3
59325.0,48978.0,5
59029.0,43137.0,3
60709.0,43461.0,3
57817.0,45498.0,3
61299.0,47746.0,3
59362.0,45997.0,3
62307.0,45105.0,3
60231.0,47183.0,3
59998.0,46912.0,3
60739.0,45570.0,3
61708.0,45883.0,3
59066.0,46619.0,3
58730.0,46803.0,3
57717.0,48281.0,3
57203.0,47382.0,3
58348.0,48287.0,3
60470.0,45476.0,3
58924.0,46965.0,3
58862.0,46266.0,3
59400.0,47672.0,3
60414.0,45052.0,3
61598.0,45003.0,3
58813.0,47990.0,3
60992.0,44265.0,3
59974.0,44364.0,3
61145.0,45932.0,3
60710.0,45087.0,3
58694.0,46824.0,3
59850.0,46681.0,3
58608.0,47945.0,3
58911.0,46230.0,3
61417.0,43176.0,3
59191.0,45551.0,3
58485.0,43415.0,3
62141.0,43026.0,3
63370.0,45884.0,3
58197.0,44714.0,3
61331.0,43082.0,3
60972.0,44250.0,3
60424.0,43917.0,3
62171.0,44736.0,3
59684.0,46141.0,3
60644.0,45680.0,3
59411.0,48115.0,3
59823.0,44185.0,3
62181.0,49244.0,5
60035.0,45759.0,3
58759.0,46105.0,3
60797.0,47826.0,3
62939.0,44089.0,3
61491.0,48260.0,3
62262.0,46903.0,3
59795.0,44489.0,3
61395.0,46119.0,3
58232.0,46796.0,3
57976.0,45578.0,3
61077.0,45880.0,3
61777.0,47582.0,3
62496.0,43916.0,3
60479.0,45423.0,3
58601.0,47656.0,3
61032.0,44031.0,3
58181.0,46222.0,3
59356.0,45572.0,3
55896.0,47225.0,3
59692.0,44645.0,3
60897.0,44915.0,3
59337.0,42941.0,3
57962.0,46260.0,3
57813.0,45740.0,3
59822.0,47324.0,3
61761.0,48521.0,3
61106.0,45858.0,3
60987.0,46482.0,3
61157.0,45321.0,3
61543.0,46490.0,3
57516.0,45058.0,3
60514.0,47708.0,3
58018.0,42944.0,3
62275.0,46474.0,3
62269.0,47075.0,3
59431.0,46355.0,3
59818.0,45806.0,3
58318.0,47500.0,3
60973.0,43825.0,3
58218.0,44486.0,3
60205.0,46653.0,3
60403.0,46465.0,3
60188.0,45957.0,3
59305.0,44215.0,3
60642.0,46219.0,3
61794.0,45089.0,3
60606.0,47553.0,3
61284.0,45441.0,3
61676.0,45255.0,3
59277.0,44809.0,3
59148.0,47748.0,3
61285.0,44544.0,3
59927.0,45471.0,3
59855.0,45241.0,3
62672.0,43501.0,3
61648.0,47644.0,3
61623.0,44381.0,3
60987.0,48401.0,3
60802.0,47068.0,3
61971.0,46440.0,3
59182.0,50285.0,5
59748.0,52499.0,5
58046.0,53129.0,5
61496.0,51630.0,5
57852.0,53639.0,5
59985.0,54614.0,5
57490.0,50448.0,5
59352.0,48444.0,3
58417.0,52216.0,5
60418.0,51972.0,5
58854.0,52919.0,5
60774.0,53105.0,5
61213.0,49916.0,5
55095.0,52085.0,5
57194.0,52148.0,5
61975.0,52117.0,5
58438.0,51888.0,5
59017.0,51283.0,5
60119.0,54375.0,5
59899.0,50243.0,5
62409.0,53289.0,5
59807.0,48360.0,3
60373.0,53833.0,5
60248.0,51796.0,5
60684.0,53227.0,5
61369.0,51251.0,5
58147.0,53037.0,5
59753.0,52591.0,5
60652.0,51129.0,5
59461.0,51341.0,5
58158.0,49589.0,5
61310.0,49722.0,5
59200.0,52802.0,5
59593.0,51890.0,5
56593.0,51088.0,5
59163.0,55436.0,5
60981.0,52675.0,5
60806.0,52983.0,5
59334.0,48886.0,5
57234.0,52296.0,5
62246.0,51019.0,5
60982.0,50994.0,5
61562.0,49999.0,5
59552.0,50865.0,5
59088.0,53114.0,5
59087.0,49401.0,5
57564.0,52301.0,5
61744.0,53939.0,5
58386.0,54126.0,5
60678.0,50751.0,5
57622.0,49400.0,5
60525.0,50455.0,5
59770.0,52990.0,5
59152.0,52109.0,5
58007.0,51251.0,5
60072.0,51501.0,5
61512.0,52776.0,5
60005.0,50898.0,5
60165.0,49050.0,5
59865.0,51003.0,5
58335.0,50170.0,5
58052.0,52197.0,5
62430.0,53034.0,5
60343.0,52190.0,5
59949.0,51416.0,5
60403.0,53557.0,5
57196.0,52798.0,5
60011.0,49886.0,5
57242.0,49888.0,5
56580.0,50897.0,5
56608.0,53024.0,5
58583.0,52766.0,5
58547.0,53001.0,5
62336.0,54289.0,5
64691.0,50948.0,5
57681.0,51657.0,5
60945.0,52204.0,5
58014.0,53809.0,5
61347.0,49963.0,5
60564.0,52271.0,5
59474.0,51569.0,5
59922.0,51370.0,5
60617.0,52220.0,5
58855.0,51176.0,5
57548.0,53060.0,5
57486.0,51799.0,5
62641.0,51926.0,5
59666.0,52447.0,5
61682.0,51161.0,5
58859.0,51826.0,5
59471.0,50576.0,5
59316.0,50743.0,5
58702.0,51112.0,5
58906.0,50218.0,5
58633.0,54156.0,5
59252.0,49744.0,5
62330.0,52499.0,5
60574.0,51754.0,5
60484.0,51739.0,5
60563.0,49392.0,5
60013.0,52410.0,5
57890.0,53523.0,5
59797.0,51090.0,5
58670.0,51762.0,5
60313.0,49557.0,5
56378.0,51069.0,5
58622.0,50401.0,5
58860.0,51752.0,5
61255.0,52264.0,5
58647.0,53533.0,5
62442.0,52636.0,5
61004.0,52248.0,5
56054.0,52169.0,5
60445.0,52542.0,5
59447.0,51355.0,5
58059.0,53563.0,5
57587.0,52335.0,5
60038.0,53227.0,5
59047.0,53225.0,5
60163.0,52927.0,5
57061.0,49822.0,5
58286.0,52031.0,5
59838.0,50740.0,5
60235.0,50875.0,5
59972.0,50086.0,5
61787.0,53406.0,5
60086.0,50479.0,5
59818.0,50359.0,5
59427.0,51337.0,5
59379.0,48500.0,3
58801.0,52767.0,5
58936.0,51829.0,5
58176.0,53199.0,5
59128.0,50589.0,5
59307.0,52419.0,5
61265.0,51193.0,5
59533.0,51023.0,5
60657.0,50999.0,5
57791.0,52937.0,5
60801.0,50837.0,5
60502.0,53335.0,5
60320.0,49012.0,5
59457.0,52582.0,5
58792.0,52100.0,5
57652.0,51718.0,5
57388.0,51212.0,5
58281.0,54245.0,5
62349.0,52922.0,5
57964.0,48880.0,5
59620.0,52129.0,5
43478.0,45608.0,15
45419.0,45927.0,15
46656.0,46590.0,15
45018.0,45803.0,15
43759.0,44307.0,15
42188.0,44864.0,15
43054.0,45478.0,15
45434.0,43766.0,15
44946.0,42258.0,15
43835.0,45332.0,15
43462.0,45636.0,15
44202.0,45854.0,15
45537.0,45294.0,15
44871.0,46713.0,15
43519.0,46607.0,15
45255.0,49117.0,15
45792.0,44032.0,15
43714.0,42881.0,15
44310.0,46642.0,15
45233.0,43756.0,15
44444.0,44968.0,15
43338.0,46099.0,15
42970.0,46238.0,15
41967.0,46740.0,15
44441.0,45522.0,15
44777.0,44263.0,15
44436.0,47374.0,15
43155.0,45637.0,15
45590.0,45829.0,15
44781.0,45786.0,15
43601.0,46919.0,15
46305.0,45959.0,15
41869.0,44010.0,15
43346.0,44722.0,15
42205.0,44895.0,15
44128.0,43566.0,15
42729.0,46022.0,15
44993.0,47285.0,15
43292.0,46926.0,15
43911.0,45724.0,15
43953.0,45891.0,15
45779.0,47297.0,15
42357.0,44214.0,15
44328.0,43843.0,15
42809.0,47544.0,15
43157.0,42754.0,15
43925.0,45390.0,15
43115.0,47237.0,15
43073.0,45662.0,15
45030.0,47358.0,15
44305.0,47441.0,15
44191.0,46111.0,15
45748.0,45373.0,15
41650.0,44288.0,15
42350.0,45677.0,15
44121.0,45686.0,15
42073.0,47804.0,15
43537.0,44164.0,15
45307.0,46959.0,15
44906.0,44367.0,15
45483.0,49576.0,15
46259.0,47739.0,15
45462.0,46015.0,15
44314.0,46552.0,15
44773.0,44472.0,15
44108.0,47308.0,15
44630.0,45910.0,15
44403.0,45462.0,15
45455.0,47051.0,15
44222.0,47283.0,15
44720.0,46277.0,15
41762.0,45856.0,15
44441.0,44084.0,15
46080.0,45581.0,15
44860.0,45401.0,15
45467.0,46484.0,15
43637.0,47501.0,15
44730.0,44597.0,15
45639.0,46267.0,15
45155.0,46300.0,15
42885.0,43424.0,15
41809.0,46177.0,15
44570.0,47080.0,15
45621.0,43643.0,15
