% source: http://cs.joensuu.fi/sipu/datasets/
%
% Synthetic 2-d data with N=5000 vectors and M=15 Gaussian clusters with different degree of cluster overlapping.
%
% P. Fränti and O. Virmajoki, "Iterative shrinking method for clustering problems", Pattern Recognition, 39 (5), 761-765, May 2006.
%
% NOTE: Labels were not part of original dataset, added manualy afterwads.
%
@RELATION s-set4
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE CLASS {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}
%
@DATA
624474.0,837604.0,1
673412.0,735362.0,1
647442.0,677000.0,1
532283.0,741384.0,1
646529.0,742844.0,1
647535.0,755101.0,1
644131.0,777721.0,1
521368.0,736923.0,1
688940.0,798967.0,1
592666.0,805244.0,1
645068.0,716248.0,1
666740.0,707391.0,1
662064.0,644958.0,1
630628.0,689662.0,1
623268.0,774834.0,1
617896.0,766560.0,1
560260.0,629298.0,1
595728.0,703618.0,1
594177.0,665266.0,1
544862.0,802997.0,1
512102.0,686369.0,1
742244.0,626859.0,1
709853.0,684304.0,1
662854.0,764737.0,1
612693.0,778368.0,1
656011.0,735274.0,1
644769.0,750956.0,1
688852.0,804551.0,1
714271.0,804144.0,1
695472.0,794296.0,1
746441.0,829147.0,1
632975.0,756806.0,1
679779.0,842107.0,1
609763.0,693428.0,1
665375.0,784377.0,1
783661.0,772895.0,1
651521.0,719802.0,1
730159.0,761390.0,1
708303.0,692097.0,1
657201.0,735978.0,1
657676.0,809387.0,1
636976.0,735247.0,1
645990.0,751430.0,1
634257.0,761114.0,1
638687.0,658319.0,1
651406.0,751827.0,1
747619.0,624316.0,1
623835.0,729538.0,1
660357.0,757474.0,1
588712.0,804321.0,1
568583.0,699863.0,1
486170.0,676920.0,1
602196.0,605901.0,1
642237.0,745490.0,1
606020.0,713186.0,1
728084.0,727247.0,1
554017.0,771267.0,1
603318.0,762900.0,1
562936.0,690153.0,1
617156.0,717859.0,1
661356.0,736420.0,1
654515.0,734666.0,1
637992.0,730773.0,1
709788.0,708315.0,1
591399.0,697019.0,1
683055.0,858799.0,1
666771.0,711680.0,1
675192.0,674079.0,1
760637.0,769855.0,1
527197.0,674487.0,1
635082.0,737943.0,1
723320.0,815272.0,1
600764.0,726223.0,1
661916.0,744296.0,1
671573.0,696285.0,1
627760.0,882730.0,1
611273.0,753851.0,1
581576.0,715320.0,1
666541.0,754171.0,1
701026.0,791071.0,1
667266.0,731121.0,1
600277.0,691215.0,1
539874.0,675119.0,1
607486.0,706829.0,1
641770.0,710711.0,1
537085.0,852184.0,1
717308.0,804279.0,1
718598.0,655512.0,1
630612.0,770576.0,1
570225.0,842829.0,1
589675.0,755546.0,1
640027.0,738368.0,1
664707.0,722141.0,1
631597.0,893608.0,1
703403.0,758482.0,1
616325.0,730469.0,1
554610.0,782542.0,1
727303.0,809509.0,1
603709.0,757145.0,1
694477.0,801480.0,1
685646.0,736943.0,1
668098.0,713957.0,1
669410.0,742049.0,1
653304.0,756314.0,1
613863.0,789513.0,1
677034.0,731641.0,1
669700.0,802084.0,1
624314.0,773405.0,1
654682.0,759785.0,1
662784.0,741095.0,1
697927.0,742163.0,1
646571.0,694895.0,1
719445.0,660485.0,1
643600.0,764086.0,1
627929.0,765962.0,1
703793.0,765552.0,1
587326.0,773381.0,1
717722.0,750330.0,1
647744.0,743909.0,1
642381.0,763897.0,1
500568.0,750993.0,1
666495.0,722851.0,1
634389.0,786036.0,1
611266.0,772133.0,1
663575.0,790377.0,1
630028.0,754929.0,1
655401.0,774402.0,1
643303.0,726933.0,1
639757.0,719842.0,1
637825.0,742807.0,1
526898.0,832506.0,1
711253.0,662676.0,1
683817.0,848128.0,1
736472.0,832727.0,1
689529.0,744487.0,1
679608.0,646448.0,1
654618.0,842075.0,1
694212.0,664353.0,1
537054.0,718748.0,1
668460.0,783930.0,1
548995.0,826833.0,1
620659.0,771475.0,1
686313.0,814540.0,1
631794.0,761185.0,1
689468.0,762705.0,1
650041.0,802336.0,1
637600.0,807783.0,1
628658.0,701860.0,1
726306.0,751034.0,1
659605.0,834003.0,1
553865.0,748234.0,1
655600.0,773478.0,1
721022.0,679883.0,1
768482.0,675006.0,1
699489.0,745124.0,1
639748.0,753096.0,1
722543.0,622479.0,1
625692.0,817673.0,1
660975.0,682945.0,1
653157.0,760124.0,1
589024.0,670804.0,1
650663.0,750543.0,1
716474.0,589627.0,1
713578.0,835966.0,1
662130.0,816183.0,1
654155.0,754804.0,1
669277.0,746296.0,1
495463.0,836789.0,1
639613.0,739148.0,1
625394.0,753313.0,1
618863.0,725369.0,1
622394.0,754662.0,1
638262.0,768634.0,1
616672.0,764248.0,1
600013.0,718427.0,1
647588.0,778720.0,1
684742.0,730888.0,1
671740.0,797199.0,1
642232.0,671485.0,1
648671.0,698132.0,1
598298.0,828919.0,1
647432.0,747627.0,1
635713.0,731717.0,1
637917.0,739863.0,1
650666.0,740969.0,1
665967.0,760477.0,1
670430.0,687642.0,1
630859.0,729998.0,1
669736.0,723253.0,1
698843.0,757623.0,1
588593.0,712840.0,1
551701.0,762639.0,1
569859.0,678546.0,1
664835.0,852665.0,1
581169.0,743574.0,1
708960.0,619575.0,1
548571.0,694223.0,1
649816.0,741942.0,1
806622.0,755456.0,1
607251.0,769005.0,1
643929.0,740891.0,1
754810.0,695153.0,1
594100.0,724493.0,1
550920.0,733481.0,1
642541.0,745931.0,1
564713.0,691456.0,1
648355.0,754094.0,1
723355.0,811885.0,1
603804.0,809265.0,1
685487.0,777337.0,1
672669.0,712077.0,1
629137.0,731945.0,1
651239.0,704427.0,1
646667.0,750450.0,1
651903.0,741129.0,1
593997.0,772357.0,1
612222.0,835296.0,1
590255.0,719829.0,1
631051.0,775151.0,1
632805.0,792317.0,1
704768.0,782692.0,1
640737.0,802041.0,1
693011.0,676778.0,1
616879.0,758050.0,1
720180.0,797859.0,1
649007.0,841089.0,1
660715.0,673207.0,1
709776.0,723601.0,1
622698.0,732571.0,1
641146.0,727668.0,1
643696.0,798257.0,1
587179.0,775954.0,1
581674.0,711962.0,1
598055.0,705391.0,1
600201.0,747106.0,1
641296.0,746985.0,1
631845.0,770401.0,1
673297.0,793402.0,1
660784.0,738049.0,1
604620.0,781401.0,1
672211.0,763778.0,1
630190.0,753117.0,1
670390.0,749824.0,1
586317.0,595754.0,1
679422.0,711194.0,1
613699.0,762603.0,1
