% unbalance dataset from https://cs.joensuu.fi/sipu/datasets/
%
% Synthetic 2-d data with N=6500 vectors and k=8 Gaussian clusters
% M. Rezaei and P. Fränti, "Set-matching measures for external cluster validity",
% IEEE Trans. on Knowledge and Data Engineering, 28 (8), 2173-2186, August 2016.
%
@RELATION unbalance

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2,3,4,5,6,7,8}

@DATA
151700.0,351102.0,6
155799.0,354358.0,6
142857.0,352716.0,6
152726.0,349144.0,6
151008.0,349692.0,6
145865.0,351895.0,6
148629.0,350242.0,6
151083.0,353684.0,6
161316.0,348971.0,6
158758.0,352360.0,6
145731.0,350480.0,6
159597.0,355339.0,6
152294.0,345996.0,6
149801.0,349982.0,6
152260.0,350394.0,6
149352.0,342567.0,6
149607.0,353888.0,6
154711.0,359310.0,6
154456.0,349715.0,6
154482.0,351351.0,6
152123.0,348751.0,6
146182.0,350827.0,6
152268.0,349032.0,6
155155.0,350195.0,6
151546.0,355246.0,6
153272.0,347661.0,6
152299.0,348418.0,6
149040.0,349665.0,6
150929.0,349676.0,6
147510.0,354280.0,6
152809.0,356672.0,6
146373.0,346559.0,6
146620.0,347645.0,6
147440.0,351382.0,6
140689.0,347871.0,6
154549.0,356725.0,6
151028.0,355250.0,6
147613.0,351520.0,6
154333.0,352207.0,6
144588.0,348394.0,6
149677.0,352370.0,6
149236.0,353471.0,6
151009.0,350546.0,6
150989.0,356166.0,6
147265.0,351837.0,6
149905.0,349644.0,6
149479.0,351115.0,6
151985.0,353649.0,6
153457.0,349093.0,6
153508.0,350082.0,6
147269.0,357194.0,6
150245.0,348533.0,6
146161.0,352594.0,6
146479.0,352222.0,6
149978.0,354997.0,6
154847.0,352140.0,6
147566.0,342000.0,6
151174.0,347435.0,6
149287.0,351539.0,6
153533.0,351164.0,6
146556.0,355830.0,6
150103.0,354435.0,6
151747.0,351738.0,6
153480.0,350609.0,6
154883.0,345616.0,6
150272.0,355889.0,6
145283.0,349950.0,6
147653.0,344901.0,6
146643.0,351028.0,6
157433.0,351067.0,6
148053.0,348011.0,6
152366.0,351788.0,6
149392.0,347713.0,6
152810.0,346040.0,6
147581.0,344238.0,6
145566.0,348412.0,6
145502.0,347577.0,6
151544.0,351539.0,6
149439.0,345216.0,6
149380.0,349283.0,6
154488.0,345713.0,6
150922.0,355786.0,6
150626.0,349695.0,6
