% Yavuz Selim TASPINAR, Murat KOKLU and Mustafa ALTIN

% CV:https://www.muratkoklu.com/en/publications/
% DATASET: https://www.muratkoklu.com/datasets

% Citation Request :
% 1: KOKLU M., TASPINAR Y.S.,  (2021).  Determining the Extinguishing Status of Fuel Flames With Sound Wave by Machine Learning Methods.  IEEE Access, 9, pp.86207-86216, Doi: 10.1109/ACCESS.2021.3088612
% Link: https://ieeexplore.ieee.org/document/9452168 (Open Access)
% https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9452168
%
% 2: TASPINAR Y.S., KOKLU M., ALTIN M., (2021).  Classification of Flame Extinction Based on Acoustic Oscillations using Artificial Intelligence Methods.  Case Studies in Thermal Engineering, 28, 101561, Doi: 10.1016/j.csite.2021.101561
% Link: https://www.sciencedirect.com/science/article/pii/S2214157X21007243  (Open Access) 
% https://www.sciencedirect.com/sdfe/reader/pii/S2214157X21007243/pdf
%
% 3: TASPINAR Y.S., KOKLU M., ALTIN M., (2022).  Acoustic-Driven %Airflow Flame Extinguishing System Design and Analysis of Capabilities of Low Frequency in Different Fuels.  Fire Technology, Doi: 10.1007/s10694-021-01208-9
% Link: https://link.springer.com/content/pdf/10.1007/s10694-021-01208-9.pdf
%
%
%
% SHORT DESCRIPTION: The dataset was obtained as a result of the extinguishing tests of four different fuel flames with a sound wave extinguishing system. The sound wave fire-extinguishing system consists of 4 subwoofers with a total power of 4,000 Watt placed in the collimator cabinet. There are two amplifiers that enable the sound come to these subwoofers as boosted. Power supply that powers the system and filter circuit ensuring that the sound frequencies are properly transmitted to the system is located within the control unit. While computer is used as frequency source, anemometer was used to measure the airflow resulted from sound waves during the extinguishing phase of the flame, and a decibel meter to measure the sound intensity. An infrared thermometer was used to measure the temperature of the flame and the fuel can, and a camera is installed to detect the extinction time of the flame. A total of 17,442 tests were conducted with this experimental setup. The experiments are planned as follows:
% 1. Three different liquid fuels and LPG fuel were used to create the flame.
% 2. 5 different sizes of liquid fuel cans are used to achieve different size of flames.
% 3. Half and full gas adjustment is used for LPG fuel.
% 4. While carrying out each experiment, the fuel container, at 10 cm distance, was moved forward up to 190 cm by increasing the distance by 10 cm each time.
% 5. Along with the fuel container, anemometer and decibel meter were moved forward in the same dimensions.
% 6. Fire extinguishing experiments was conducted with 54 different frequency sound waves at each distance and flame size.
% Throughout the flame extinguishing experiments, the data obtained from each measurement device was recorded and a dataset was created. The dataset includes the features of fuel container size representing the flame size, fuel type, frequency, decibel, distance, airflow and flame extinction. Accordingly, 6 input features and 1 output feature will be used in models. The explanation of a total of seven features for liquid fuels in the dataset is given in Table 1, and the explanation of 7 features for LPG fuel is given in Table 2.
% The status property (flame extinction or non-extinction states) can be predicted by using six features in the dataset. Status and fuel features are categorical, while other features are numerical. 8,759 of the 17,442 test results are the non-extinguishing state of the flame. 8,683 of them are the extinction state of the flame. According to these numbers, it can be said that the class distribution of the dataset is almost equal."				
% 
% KEYWORDS: Fire, Extinguishing System, Sound wave, Machine learning, Fire safety, Low frequency, Acoustic

% Data properties and descriptions for liquid fuels				
% FEATURES		MIN/MAX VALUES					UNIT	DESCRIPTIONS	
% SIZE			7, 12, 14, 16, 20				cm		Recorded as 7 cm=1, 12 cm=2, 14 cm=3, 16 cm=4, 20 cm=5	
% FUEL			Gasoline, Kerosene, Thinner				Fuel type	
% DISTANCE		10 - 190						cm		
% DESIBEL		72 - 113						dB		
% AIRFLOW		0 - 17							m/s		
% FREQUENCY		1-75							Hz		
% STATUS		0, 1									0 indicates the non-extinction state, 1 indicates the extinction state	
% 				
% 			
% Data properties and descriptions for LPG				
% FEATURES		MIN/MAX VALUES									UNIT		DESCRIPTIONS	
% SIZE			Half throttle setting, Full throttle setting				Reocerded as Half throttle setting=6, Full throttle setting=7	
% FUEL			LPG															Fuel type	
% DISTANCE		10 - 190										cm		
% DESIBEL		72 - 113										dB		
% AIRFLOW		0 - 17											m/s		
% FREQUENCY		1-75											Hz		
% STATUS		0, 1														0 indicates the non-extinction state, 1 indicates the extinction state	
% 
% 
@RELATION Acoustic_Extinguisher_Fire_Dataset
@ATTRIBUTE SIZE	INTEGER
@ATTRIBUTE FUEL	{gasoline,thinner,kerosene,lpg}
@ATTRIBUTE DISTANCE	INTEGER
@ATTRIBUTE DESIBEL	INTEGER
@ATTRIBUTE AIRFLOW	REAL
@ATTRIBUTE FREQUENCY	INTEGER
@ATTRIBUTE CLASS	{0, 1}

@DATA
1,gasoline,10,96,0.0,75,0
1,gasoline,10,96,0.0,72,1
1,gasoline,10,96,2.6,70,1
1,gasoline,10,96,3.2,68,1
1,gasoline,10,109,4.5,67,1
1,gasoline,10,109,7.8,66,1
1,gasoline,10,103,9.7,65,1
1,gasoline,10,95,12.0,60,1
1,gasoline,10,102,13.3,55,1
1,gasoline,10,93,15.4,52,1
1,gasoline,10,93,15.1,51,1
1,gasoline,10,95,15.2,50,1
1,gasoline,10,110,15.4,48,1
1,gasoline,10,111,15.2,47,1
1,gasoline,10,109,15.4,46,1
1,gasoline,10,105,15.2,45,1
1,gasoline,10,111,16.0,44,1
1,gasoline,10,110,15.7,42,1
1,gasoline,10,106,15.4,40,1
1,gasoline,10,111,15.5,38,1
1,gasoline,10,110,15.2,36,1
1,gasoline,10,103,14.9,35,1
1,gasoline,10,109,14.9,34,1
1,gasoline,10,108,14.9,33,1
1,gasoline,10,110,15.1,32,1
1,gasoline,10,109,17.0,30,1
1,gasoline,10,108,15.5,28,1
1,gasoline,10,108,15.4,27,1
1,gasoline,10,107,15.5,26,1
1,gasoline,10,109,16.6,25,1
1,gasoline,10,108,15.2,24,1
1,gasoline,10,108,15.4,23,1
1,gasoline,10,108,15.4,22,1
1,gasoline,10,109,15.2,21,1
1,gasoline,10,108,15.7,20,1
1,gasoline,10,108,15.2,19,1
1,gasoline,10,106,15.1,18,1
1,gasoline,10,105,14.5,17,1
1,gasoline,10,105,13.8,16,1
1,gasoline,10,106,14.4,15,1
1,gasoline,10,106,12.3,14,1
1,gasoline,10,93,11.9,13,1
1,gasoline,10,90,11.9,12,1
1,gasoline,10,92,12.5,11,1
1,gasoline,10,105,13.8,10,1
1,gasoline,10,91,12.9,9,1
1,gasoline,10,105,12.9,8,1
1,gasoline,10,105,12.3,7,1
1,gasoline,10,90,11.8,6,1
1,gasoline,10,90,11.0,5,1
1,gasoline,10,88,8.8,4,1
1,gasoline,10,85,6.0,3,1
1,gasoline,10,83,3.1,2,1
1,gasoline,10,75,0.8,1,1
1,gasoline,20,96,0.0,75,0
1,gasoline,20,96,0.0,72,0
1,gasoline,20,103,1.0,70,1
1,gasoline,20,107,1.1,68,1
1,gasoline,20,96,4.0,67,1
1,gasoline,20,105,6.5,66,1
1,gasoline,20,104,7.5,65,1
1,gasoline,20,95,9.0,60,1
1,gasoline,20,103,12.0,55,1
1,gasoline,20,110,15.0,52,1
1,gasoline,20,112,14.6,51,1
1,gasoline,20,113,15.2,50,1
1,gasoline,20,111,14.9,48,1
1,gasoline,20,110,15.5,47,1
1,gasoline,20,95,16.0,46,1
1,gasoline,20,95,16.3,45,1
1,gasoline,20,92,16.0,44,1
1,gasoline,20,92,16.0,42,1
1,gasoline,20,104,15.5,40,1
1,gasoline,20,90,15.2,38,1
1,gasoline,20,90,15.2,36,1
1,gasoline,20,91,15.0,35,1
1,gasoline,20,108,15.2,34,1
1,gasoline,20,108,14.8,33,1
1,gasoline,20,90,14.1,32,1
1,gasoline,20,105,13.5,30,1
1,gasoline,20,92,13.3,28,1
1,gasoline,20,88,13.3,27,1
1,gasoline,20,106,12.8,26,1
1,gasoline,20,106,13.8,25,1
1,gasoline,20,106,13.3,24,1
1,gasoline,20,92,13.8,23,1
1,gasoline,20,91,13.6,22,1
1,gasoline,20,92,13.2,21,1
1,gasoline,20,106,13.2,20,1
1,gasoline,20,92,13.5,19,1
1,gasoline,20,90,13.2,18,1
1,gasoline,20,89,12.8,17,1
1,gasoline,20,92,12.3,16,1
1,gasoline,20,105,12.3,15,1
1,gasoline,20,93,11.5,14,1
1,gasoline,20,91,11.2,13,1
1,gasoline,20,91,11.9,12,1
1,gasoline,20,91,11.5,11,1
1,gasoline,20,105,12.3,10,1
1,gasoline,20,92,12.0,9,1
1,gasoline,20,91,12.2,8,1
1,gasoline,20,90,11.5,7,1
1,gasoline,20,90,11.0,6,1
1,gasoline,20,100,9.6,5,1
1,gasoline,20,87,7.8,4,1
1,gasoline,20,80,5.0,3,1
1,gasoline,20,78,3.7,2,1
1,gasoline,20,76,1.0,1,0
1,gasoline,30,106,0.0,75,0
1,gasoline,30,96,0.0,72,0
1,gasoline,30,101,0.4,70,1
1,gasoline,30,104,0.4,68,1
1,gasoline,30,96,2.2,67,1
1,gasoline,30,101,5.0,66,1
1,gasoline,30,103,7.0,65,1
1,gasoline,30,95,6.5,60,1
1,gasoline,30,103,14.4,55,1
1,gasoline,30,107,13.3,52,1
1,gasoline,30,107,13.8,51,1
1,gasoline,30,106,14.8,50,1
1,gasoline,30,109,15.4,48,1
1,gasoline,30,111,15.5,47,1
1,gasoline,30,112,16.0,46,1
1,gasoline,30,110,16.0,45,1
1,gasoline,30,111,16.3,44,1
1,gasoline,30,110,16.1,42,1
1,gasoline,30,110,15.2,40,1
1,gasoline,30,110,15.2,38,1
1,gasoline,30,110,14.8,36,1
1,gasoline,30,108,14.4,35,1
1,gasoline,30,108,14.2,34,1
1,gasoline,30,92,13.2,33,1
1,gasoline,30,89,14.2,32,1
1,gasoline,30,89,13.5,30,1
1,gasoline,30,89,12.3,28,1
1,gasoline,30,90,12.0,27,1
1,gasoline,30,92,12.5,26,1
1,gasoline,30,108,11.5,25,1
1,gasoline,30,107,12.3,24,1
1,gasoline,30,106,11.5,23,1
1,gasoline,30,88,11.9,22,1
1,gasoline,30,87,12.0,21,1
1,gasoline,30,106,11.5,20,1
1,gasoline,30,87,12.3,19,1
1,gasoline,30,86,11.6,18,1
1,gasoline,30,85,11.0,17,1
1,gasoline,30,89,10.9,16,1
1,gasoline,30,90,10.3,15,1
1,gasoline,30,89,10.7,14,1
1,gasoline,30,86,10.0,13,1
1,gasoline,30,85,10.7,12,1
1,gasoline,30,92,10.9,11,1
1,gasoline,30,90,12.0,10,1
1,gasoline,30,97,11.8,9,1
1,gasoline,30,92,11.3,8,1
1,gasoline,30,89,11.3,7,1
1,gasoline,30,87,11.0,6,1
1,gasoline,30,88,10.2,5,1
1,gasoline,30,87,9.2,4,1
1,gasoline,30,86,7.4,3,1
1,gasoline,30,78,4.5,2,1
1,gasoline,30,75,0.0,1,0
1,gasoline,40,104,0.0,75,0
1,gasoline,40,96,0.0,72,0
1,gasoline,40,96,0.0,70,0
1,gasoline,40,96,0.0,68,0
1,gasoline,40,96,1.3,67,1
1,gasoline,40,101,3.2,66,1
1,gasoline,40,102,4.5,65,1
1,gasoline,40,106,12.3,60,1
1,gasoline,40,107,9.2,55,1
1,gasoline,40,108,13.9,52,1
1,gasoline,40,94,13.9,51,1
1,gasoline,40,93,13.5,50,1
1,gasoline,40,93,14.5,48,1
1,gasoline,40,107,14.4,47,1
1,gasoline,40,107,14.5,46,1
1,gasoline,40,107,14.9,45,1
1,gasoline,40,107,15.2,44,1
1,gasoline,40,107,15.2,42,1
1,gasoline,40,108,14.8,40,1
1,gasoline,40,110,14.4,38,1
1,gasoline,40,110,14.4,36,1
1,gasoline,40,109,14.9,35,1
1,gasoline,40,107,14.4,34,1
1,gasoline,40,108,14.4,33,1
1,gasoline,40,106,14.5,32,1
1,gasoline,40,91,14.9,30,1
1,gasoline,40,92,14.1,28,1
1,gasoline,40,93,14.4,27,1
1,gasoline,40,106,13.5,26,1
1,gasoline,40,92,13.5,25,1
1,gasoline,40,90,12.5,24,1
1,gasoline,40,90,12.3,23,1
1,gasoline,40,87,13.2,22,1
1,gasoline,40,89,13.1,21,1
1,gasoline,40,90,12.3,20,1
1,gasoline,40,88,12.0,19,1
1,gasoline,40,86,11.5,18,1
1,gasoline,40,85,11.3,17,1
1,gasoline,40,92,11.5,16,1
1,gasoline,40,91,10.4,15,1
1,gasoline,40,89,10.9,14,1
1,gasoline,40,87,10.0,13,1
1,gasoline,40,90,10.0,12,1
1,gasoline,40,91,10.3,11,1
1,gasoline,40,90,10.0,10,1
1,gasoline,40,91,11.3,9,1
