%
% Citation Request :
% 1. OZKAN I.A., KOKLU M. and SARACOGLU R. (2021). Classification of Pistachio Species Using Improved K-NN Classifier. Progress in Nutrition, Vol. 23, N. 2, pp. DOI:10.23751/pn.v23i2.9686.  (Open Access) 
% 
% 2. SINGH D, TASPINAR YS, KURSUN R, CINAR I, KOKLU M, OZKAN IA, LEE H-N., (2022). Classification and Analysis of Pistachio Species with Pre-Trained Deep Learning Models, Electronics, 11 (7), 981. https://doi.org/10.3390/electronics11070981. (Open Access)
% DATASET: https://www.muratkoklu.com/datasets/
% Article Download (PDF): https://www.mattioli1885journals.com/index.php/progressinnutrition/article/view/9686/9178
% https://www.mdpi.com/2079-9292/11/7/981/pdf


@RELATION Pistachio_16_Features_Dataset
@ATTRIBUTE AREA	INTEGER
@ATTRIBUTE PERIMETER	REAL
@ATTRIBUTE MAJOR_AXIS	REAL
@ATTRIBUTE MINOR_AXIS	REAL
@ATTRIBUTE ECCENTRICITY	REAL
@ATTRIBUTE EQDIASQ	REAL
@ATTRIBUTE SOLIDITY	REAL
@ATTRIBUTE CONVEX_AREA	INTEGER
@ATTRIBUTE EXTENT	REAL
@ATTRIBUTE ASPECT_RATIO	REAL
@ATTRIBUTE ROUNDNESS	REAL
@ATTRIBUTE COMPACTNESS	REAL
@ATTRIBUTE SHAPEFACTOR_1	REAL
@ATTRIBUTE SHAPEFACTOR_2	REAL
@ATTRIBUTE SHAPEFACTOR_3	REAL
@ATTRIBUTE SHAPEFACTOR_4	REAL
@ATTRIBUTE Class	{Kirmizi_Pistachio, Siit_Pistachio}

@DATA
63391,1568.405,390.3396,236.7461,0.7951,284.0984,0.8665,73160,0.6394,1.6488,0.3238,0.7278,0.0062,0.0037,0.5297,0.8734,Kirmizi_Pistachio
68358,1942.187,410.8594,234.7525,0.8207,295.0188,0.8765,77991,0.6772,1.7502,0.2277,0.7181,0.006,0.0034,0.5156,0.9024,Kirmizi_Pistachio
73589,1246.538,452.363,220.5547,0.8731,306.0987,0.9172,80234,0.7127,2.051,0.5951,0.6767,0.0061,0.003,0.4579,0.9391,Kirmizi_Pistachio
71106,1445.261,429.5291,216.0765,0.8643,300.8903,0.9589,74153,0.7028,1.9879,0.4278,0.7005,0.006,0.003,0.4907,0.9755,Kirmizi_Pistachio
80087,1251.524,469.3783,220.9344,0.8823,319.3273,0.9657,82929,0.7459,2.1245,0.6425,0.6803,0.0059,0.0028,0.4628,0.9833,Kirmizi_Pistachio
52268,1154.15,383.8558,197.502,0.8575,257.9723,0.8563,61039,0.5628,1.9436,0.4931,0.6721,0.0073,0.0038,0.4517,0.8778,Kirmizi_Pistachio
71693,1463.932,388.2366,252.82,0.7589,302.1297,0.9156,78304,0.6892,1.5356,0.4204,0.7782,0.0054,0.0035,0.6056,0.93,Kirmizi_Pistachio
62240,1898.45,385.7238,218.1349,0.8247,281.5074,0.8947,69563,0.6727,1.7683,0.217,0.7298,0.0062,0.0035,0.5326,0.9418,Kirmizi_Pistachio
64319,2011.291,435.9127,213.7594,0.8715,286.1704,0.8633,74502,0.6542,2.0393,0.1998,0.6565,0.0068,0.0033,0.431,0.8789,Kirmizi_Pistachio
78115,1238.623,492.33,204.9987,0.9092,315.3714,0.9616,81236,0.7105,2.4016,0.6398,0.6406,0.0063,0.0026,0.4103,0.9855,Kirmizi_Pistachio
