% Citation Request :
% 1. OZKAN IA., KOKLU M. and SARACOGLU R. (2021). Classification of Pistachio Species Using Improved K-NN Classifier. Progress in Nutrition, Vol. 23, N. 2, pp. DOI:10.23751/pn.v23i2.9686.  (Open Access) 

% 2. SINGH D, TASPINAR YS, KURSUN R, CINAR I, KOKLU M, OZKAN IA, LEE H-N., (2022). Classification and Analysis of Pistachio Species with Pre-Trained Deep Learning Models, Electronics, 11 (7), 981. https://doi.org/10.3390/electronics11070981. (Open Access) 
% 
% DATASET: https://www.muratkoklu.com/datasets/
% Article Download (PDF): https://www.mattioli1885journals.com/index.php/progressinnutrition/article/view/9686/9178
% https://doi.org/10.3390/electronics11070981. 
% DATASET: https://www.muratkoklu.com/datasets/

@RELATION Pistachio_28_Features_Dataset
@ATTRIBUTE Area	INTEGER
@ATTRIBUTE Perimeter	REAL
@ATTRIBUTE Major_Axis	REAL
@ATTRIBUTE Minor_Axis	REAL
@ATTRIBUTE Eccentricity	REAL
@ATTRIBUTE Eqdiasq	REAL
@ATTRIBUTE Solidity	REAL
@ATTRIBUTE Convex_Area	INTEGER
@ATTRIBUTE Extent	REAL
@ATTRIBUTE Aspect_Ratio	REAL
@ATTRIBUTE Roundness	REAL
@ATTRIBUTE Compactness	REAL
@ATTRIBUTE Shapefactor_1	REAL
@ATTRIBUTE Shapefactor_2	REAL
@ATTRIBUTE Shapefactor_3	REAL
@ATTRIBUTE Shapefactor_4	REAL
@ATTRIBUTE Mean_RR	REAL
@ATTRIBUTE Mean_RG	REAL
@ATTRIBUTE Mean_RB	REAL
@ATTRIBUTE StdDev_RR	REAL
@ATTRIBUTE StdDev_RG	REAL
@ATTRIBUTE StdDev_RB	REAL
@ATTRIBUTE Skew_RR	REAL
@ATTRIBUTE Skew_RG	REAL
@ATTRIBUTE Skew_RB	REAL
@ATTRIBUTE Kurtosis_RR	REAL
@ATTRIBUTE Kurtosis_RG	REAL
@ATTRIBUTE Kurtosis_RB	REAL
@ATTRIBUTE Class	{Kirmizi_Pistachio, Siirt_Pistachio}

@DATA
63391,1568.405,390.3396,236.7461,0.7951,284.0984,0.8665,73160,0.6394,1.6488,0.3238,0.7278,0.0062,0.0037,0.5297,0.8734,195.9932,180.2673,165.3167,17.7206,19.6024,21.1342,0.4581,0.6635,0.7591,2.9692,3.0576,2.9542,Kirmizi_Pistachio
68358,1942.187,410.8594,234.7525,0.8207,295.0188,0.8765,77991,0.6772,1.7502,0.2277,0.7181,0.006,0.0034,0.5156,0.9024,222.5941,208.621,187.3744,26.7061,27.2112,25.1035,-0.3847,-0.2713,-0.2927,1.9807,2.1006,2.2152,Kirmizi_Pistachio
73589,1246.538,452.363,220.5547,0.8731,306.0987,0.9172,80234,0.7127,2.051,0.5951,0.6767,0.0061,0.003,0.4579,0.9391,213.3581,202.9122,187.7118,19.0129,20.0703,20.7006,-0.6014,-0.45,0.2998,3.542,3.6856,4.1012,Kirmizi_Pistachio
71106,1445.261,429.5291,216.0765,0.8643,300.8903,0.9589,74153,0.7028,1.9879,0.4278,0.7005,0.006,0.003,0.4907,0.9755,211.863,205.4264,187.9537,18.1773,18.7152,29.7883,-0.6943,-0.6278,-0.7798,2.8776,2.8748,2.8953,Kirmizi_Pistachio
80087,1251.524,469.3783,220.9344,0.8823,319.3273,0.9657,82929,0.7459,2.1245,0.6425,0.6803,0.0059,0.0028,0.4628,0.9833,229.5648,217.5896,194.4906,23.4298,24.0878,23.1157,-0.9287,-0.8134,-0.497,2.9915,2.8813,2.7362,Kirmizi_Pistachio
52268,1154.15,383.8558,197.502,0.8575,257.9723,0.8563,61039,0.5628,1.9436,0.4931,0.6721,0.0073,0.0038,0.4517,0.8778,215.4912,197.405,181.3793,22.2838,23.8369,18.8311,-0.5006,-0.4764,-0.3458,2.2325,2.2164,2.5764,Kirmizi_Pistachio
71693,1463.932,388.2366,252.82,0.7589,302.1297,0.9156,78304,0.6892,1.5356,0.4204,0.7782,0.0054,0.0035,0.6056,0.93,206.7203,192.797,192.7803,21.5374,22.4506,23.1916,0.4569,0.7061,0.382,2.6861,3.3963,2.9868,Kirmizi_Pistachio
62240,1898.45,385.7238,218.1349,0.8247,281.5074,0.8947,69563,0.6727,1.7683,0.217,0.7298,0.0062,0.0035,0.5326,0.9418,210.7896,194.6035,181.719,18.4959,18.8813,19.8073,-0.3596,-0.2957,-0.269,2.586,2.6125,3.1226,Kirmizi_Pistachio
64319,2011.291,435.9127,213.7594,0.8715,286.1704,0.8633,74502,0.6542,2.0393,0.1998,0.6565,0.0068,0.0033,0.431,0.8789,223.4141,210.8728,198.4972,23.9964,25.9236,32.5835,-0.634,-0.4398,-0.5713,2.4145,2.3429,3.2907,Kirmizi_Pistachio
78115,1238.623,492.33,204.9987,0.9092,315.3714,0.9616,81236,0.7105,2.4016,0.6398,0.6406,0.0063,0.0026,0.4103,0.9855,213.4019,200.3663,188.9027,15.1877,15.2002,16.9397,-1.0709,-0.9604,0.466,4.2805,4.4029,5.785,Kirmizi_Pistachio
