@relation 'click_prediction_smallest_balanced'

@attribute class {0,1}
@attribute impression numeric
@attribute url_hash numeric
@attribute ad_id numeric
@attribute advertiser_id numeric
@attribute depth numeric
@attribute position numeric
@attribute query_id numeric
@attribute keyword_id numeric
@attribute title_id numeric
@attribute description_id numeric
@attribute user_id numeric

@data

0,1,1.0710025208886284E19,8343295,11700,3,3,7702266,21264,27892,1559,0
1,1,1.7363854844105064E19,20017077,23798,1,1,93079,35498,4,36476,562934
0,1,8.9154733542573404E18,21348354,36654,1,1,10981,19975,36105,33292,11621116
0,1,4.4266930771924316E18,20366086,33280,3,3,0,5942,4057,4390,8778348
0,1,1.157259655396508E19,6803526,10790,2,1,9881978,60593,25242,1679,12118311
1,1,2.82757736623248544E17,21186478,35793,2,1,163315,4871,3257,1153,2886008
0,1,8.813902859733762E18,20886690,34840,2,2,316,543,2206,2888,7589739
0,1,3.8110346841213204E18,21367376,20667,3,2,2601439,118,9594,9705,579253
0,1,9.806838428950888E18,21811752,37737,3,2,1631,333,841,2175,5277279
1,1,1.4340390157469403E19,9027213,23808,2,1,5,1,0,0,11808635
0,1,1.154854293114536E19,21188630,17432,3,3,54485,20526,680977,621442,329865
1,3,1.205787899908646E19,20170434,27961,1,1,16554377,63355,106189,100521,1378623
0,1,2.352816826109845E18,10362063,28873,2,1,3203,38,1150,1129,5864198
0,1,5.1206834405104681E18,8676724,1268,1,1,1330,40,45,13,16760230
0,1,5.5896494124657367E18,20950936,35067,1,1,637,9563,8908,42,19015059
0,2,1.205787899908646E19,20163224,27961,1,1,24027,1003,3718,4300,5359727
0,1,1.72996384937738752E18,20882079,23637,2,2,1,659,890,227,2676619
0,1,1.4935292746090631E19,21967731,37465,3,3,743855,64605,774277,125,0
0,1,1.432575689518243E19,5937082,24161,2,1,8789369,3660,230,350,0
0,2,6.7150490022326559E18,3065545,23783,1,1,1060,60,54,78,22485516
1,1,5.8512528144469361E18,21477611,28698,1,1,13619350,1372,5269,5590,12474904
0,1,1.7916193598630554E19,21720811,36961,2,1,1644095,6655,257582,214940,0
0,1,1.1547636679726547E19,21229143,36219,2,2,118476,18740,184256,1155,1363665
0,1,1.205787899908646E19,20147104,27961,2,1,21877,10134,12022,13371,2914614
0,1,3.1639974203144361E18,21445735,26288,3,3,592,43,389,150,1049825
0,1,9.75107224858461E18,10850160,29713,2,2,274203,52559,299304,280190,163100
0,1,1.58319745024802848E17,4383725,10632,2,1,4146195,99,3925,11188,108607
1,1,1.65645934293210163E18,4292714,24638,2,2,11818280,378070,829668,700216,1121673
0,1,2.6709527232789048E18,20172890,23805,1,1,322,73,304,16,11698817
0,1,1.4340390157469403E19,10399705,23808,2,2,11943445,53500,12335,12184,421777
0,1,1.0974309841212465E19,21326131,36538,3,3,2,142,9282,8539,5730123
0,1,6.2287840661292913E18,3923541,1998,1,1,335,1073,1014,1575,18200639
0,1,1.6604442479597177E19,8390773,11706,2,1,11163021,8919,40317,42074,856462
0,1,1.205787899908646E19,20163203,27961,1,1,3131615,4662,74972,72624,0
1,1,1.4202400320781967E19,21015281,27503,2,2,304115,34602,1026544,832988,0
0,1,1.4235650652681212E19,5070465,19742,3,1,514961,80956,497913,423962,0
0,1,7.5533796477907098E18,4391771,26238,2,1,840320,99,2739,5798,466190
1,1,1.5339639395262884E19,21345704,2218,2,1,1068842,41,2360,2572,0
0,1,1.3747702810738233E19,21416405,36970,2,2,3113931,405,10206,2366,7226282
0,1,1.1933833756018751E19,4326388,14181,3,2,2225104,7443,18362,1128,164989
0,1,1.0058505550491195E19,20711217,34402,3,3,1215217,45836,136972,130558,2374044
