@RELATION telemarketing

@ATTRIBUTE age REAL
@ATTRIBUTE job {admin.,blue-collar,entrepreneur,housemaid,management,retired,self-employed,services,student,technician,unemployed,unknown}
@ATTRIBUTE marital {divorced,married,single,unknown}
@ATTRIBUTE education {basic.4y,basic.6y,basic.9y,high.school,illiterate,professional.course,university.degree,unknown}
@ATTRIBUTE default {no,unknown,yes}
@ATTRIBUTE housing {no,unknown,yes}
@ATTRIBUTE loan {no,unknown,yes}
@ATTRIBUTE contact {cellular,telephone}
@ATTRIBUTE month {apr,aug,dec,jul,jun,mar,may,nov,oct,sep}
@ATTRIBUTE day_of_week {fri,mon,thu,tue,wed}
@ATTRIBUTE campaign REAL
@ATTRIBUTE pdays REAL
@ATTRIBUTE previous REAL
@ATTRIBUTE poutcome {failure,nonexistent,success}
@ATTRIBUTE emp.var.rate REAL
@ATTRIBUTE cons.price.idx REAL
@ATTRIBUTE cons.conf.idx REAL
@ATTRIBUTE euribor3m REAL
@ATTRIBUTE nr.employed REAL
@ATTRIBUTE class {no,yes}

@DATA
52,technician,married,high.school,no,yes,no,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
33,admin.,single,university.degree,no,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
54,admin.,single,university.degree,no,yes,no,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,no
53,housemaid,married,high.school,no,no,yes,cellular,jun,thu,1,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,yes
42,self-employed,married,university.degree,unknown,yes,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
36,management,married,university.degree,no,no,yes,cellular,jul,wed,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
40,technician,divorced,university.degree,no,yes,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
44,blue-collar,single,basic.4y,no,yes,no,cellular,mar,tue,2,999,0,nonexistent,-1.8,92.843,-50,1.51,5099.1,yes
36,technician,divorced,professional.course,no,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
48,management,married,university.degree,no,no,no,cellular,jul,thu,4,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
